species,decimalLatitude,decimalLongitude,optional,tmean.avg,deleting.out.of.range
Pontastacus leptodactylus,54.52852972,39.05783665,TRUE,4.790666521,
Pontastacus leptodactylus,50.0417321,11.65923931,TRUE,7.387666602,yes
Pontastacus pachypus,46.81695007,35.49232811,TRUE,9.432999988,
Procambarus ablusus,35.06087639,-88.52583923,TRUE,15.37633334,
Procambarus acanthophorus,16.55627943,-92.39270833,TRUE,14.76299985,
Procambarus acherontis,28.71280549,-81.48407407,TRUE,21.50033331,
Procambarus achilli,20.48547925,-98.56103161,TRUE,17.87733332,
Procambarus acutissimus,32.99577857,-87.04198746,TRUE,16.87400003,
Procambarus acutus,39.6890002,-79.66369564,TRUE,9.560999871,yes
Procambarus acutus,40.19816653,-86.33713072,TRUE,10.16133342,
Procambarus acutus,37.10581821,-119.6627836,TRUE,16.73466659,yes
Procambarus advena,32.32910199,-81.92400411,TRUE,18.71099989,
Procambarus alleni,27.81086635,-81.48668996,TRUE,22.41633336,
Procambarus ancylus,33.2095687,-80.8775088,TRUE,17.71466664,
Procambarus angustatus,32.6400464,-84.36868815,TRUE,17.27833319,
Procambarus apalachicolae,30.38992037,-85.95633664,TRUE,19.32433311,
Procambarus atkinsoni,21.67645961,-82.84066747,TRUE,25.37466685,
Procambarus attiguus,29.23354353,-82.03950901,TRUE,20.73399965,
Procambarus barbatus,32.47273047,-81.46590181,TRUE,18.42633327,
Procambarus barbiger,31.97052059,-89.24138963,TRUE,17.68033326,
Procambarus bivittatus,30.71529332,-88.45861698,TRUE,19.08466681,
Procambarus blandingii,33.87624296,-80.1143102,TRUE,17.11199991,
Procambarus bouvieri,19.2959348,-102.2887103,TRUE,17.53766632,
Procambarus braswelli,34.35520192,-79.05698348,TRUE,16.78766656,
Procambarus brazoriensis,30.13980229,-95.91600721,TRUE,19.69300008,
Procambarus caballeroi,20.49950567,-97.56664367,TRUE,23.66933314,
Procambarus capillatus,31.47254543,-87.06773734,TRUE,18.01800021,
Procambarus caritus,32.19976917,-82.81789191,TRUE,18.42899998,
Procambarus catemacoensis,18.39816464,-95.06131188,TRUE,24.65766652,
Procambarus cavernicola,18.00238995,-96.66450143,TRUE,23.64700015,
